シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2021,Ｊ１,第６節第２日,21/03/21(日),13:03,FC東京,2-1,仙台,味スタ,4402,ＤＡＺＮ
2021,Ｊ１,第８節第２日,21/04/07(水),19:03,FC東京,2-1,札幌,味スタ,6236,ＤＡＺＮ
2021,Ｊ１,第９節第２日,21/04/11(日),14:03,FC東京,2-4,川崎Ｆ,味スタ,17615,ＤＡＺＮ
2021,Ｊ１,第１１節第３日,21/04/24(土),14:03,FC東京,1-2,鳥栖,味スタ,4914,ＤＡＺＮ
2021,Ｊ１,第１２節第１日,21/05/01(土),14:03,FC東京,0-3,横浜FM,味スタ,0,ＤＡＺＮ
2021,Ｊ１,第１５節第１日,21/05/22(土),19:01,FC東京,1-0,Ｇ大阪,味スタ,4886,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2021,Ｊ１,第１７節第２日,21/05/30(日),14:03,FC東京,0-0,広島,味スタ,4954,ＤＡＺＮ
2021,Ｊ１,第２０節第２日,21/06/27(日),19:03,FC東京,3-0,大分,味スタ,4819,ＤＡＺＮ
2021,Ｊ１,第２８節第３日,21/09/12(日),19:04,FC東京,0-1,柏,味スタ,4987,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2021,Ｊ１,第２９節第２日,21/09/18(土),19:03,FC東京,4-0,横浜FC,味スタ,4368,ＤＡＺＮ
2021,Ｊ１,第３２節第１日,21/09/22(水),19:03,FC東京,1-1,名古屋,味スタ,4982,ＤＡＺＮ
2021,Ｊ１,第３０節第２日,21/09/25(土),15:03,FC東京,1-2,浦和,味スタ,4875,ＤＡＺＮ
2021,Ｊ１,第３３節第２日,21/10/23(土),14:03,FC東京,1-2,鹿島,味スタ,9748,ＤＡＺＮ
2021,Ｊ１,第３４節第１日,21/11/03(水・祝),14:03,FC東京,4-0,清水,味スタ,18209,ＤＡＺＮ
2021,Ｊ１,第３６節第１日,21/11/20(土),14:03,FC東京,0-2,徳島,味スタ,12670,ＤＡＺＮ
